name,neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,city
One Market,SoMa,,,1,1,1,1,1,,,,,,,San Francisco
Plumed Horse,Saratoga,,,,1,1,1,1,1,1,1,1,1,1,San Francisco
Quince,Jackson Square,,1,1,1,1,1,1,1,2,2,2,3,3,San Francisco
Range,Mission,,1,1,1,1,,,,,,,,,San Francisco
Rasa,Burlingame,,,,,,,,,,,1,1,1,San Francisco
Redd,Yountville,,,1,1,1,1,1,1,1,,,,,San Francisco
Rich Table,Hayes Valley,,,,,,,,,,,,,1,San Francisco
Rubicon,Financial District,,1,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Saison,SoMa,,,,,,1,2,2,2,3,3,3,3,San Francisco
Sante,Sonoma,,,,,1,1,1,,,,,,,San Francisco
SingleThread Farms,Healdsburg,,,,,,,,,,,,,2,San Francisco
Solbar,Calistoga,,,,,1,1,1,1,1,1,1,1,,San Francisco
Sons & Daughters,Nob Hill,,,,,,,1,1,1,1,1,1,1,San Francisco
SPQR,Fillmore,,,,,,,,1,1,1,1,1,1,San Francisco
Spruce,Presidio Heights,,,,,,1,1,1,1,1,1,1,1,San Francisco
State Bird Provisions,Fillmore,,,,,,,,,1,1,1,1,1,San Francisco
Sushi Ran,Sausalito,,1,1,,,,,,,,,,,San Francisco
Sushi Yoshizumi,San Mateo,,,,,,,,,,,1,1,1,San Francisco
Terra,St. Helena,,,1,1,1,1,1,1,1,1,1,1,1,San Francisco
Terrapin Creek,Bodega Bay,,,,,,,1,1,1,1,1,1,1,San Francisco
The Dining Room at the Ritz-Carlton,Nob Hill,,1,1,1,1,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
The French Laundry,Yountville,,3,3,3,3,3,3,3,3,3,3,3,3,San Francisco
The Progress,Fillmore,,,,,,,,,,,,1,1,San Francisco
The Restaurant at Meadowood,St. Helena,,,2,2,2,3,3,3,3,3,3,3,3,San Francisco
The Village Pub,Woodside,,,,,1,1,1,1,1,1,1,1,1,San Francisco
Trevese,Los Gatos,,,,,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Ubuntu,Napa,,,,,1,1,1,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Wako,Richmond,,,,,,,,,,,1,1,1,San Francisco
Wakuriya,San Mateo,,,,,,1,1,1,1,1,1,1,1,San Francisco
42 Grams,Uptown,,,,,,,,,,2,2,2,Closed,Chicago
Acadia,South Loop,,,,,,,,1,1,1,2,2,2,Chicago
Alinea,Lincoln Park,,,,,,3,3,3,3,3,3,3,3,Chicago
Avenues,Magnificent Mile,,,,,,2,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Chicago
Band of Bohemia,Ravenswood,,,,,,,,,,,,1,1,Chicago
Blackbird,West Loop,,,,,,1,1,1,1,1,1,1,1,Chicago
Boka,Lincoln Park,,,,,,1,1,1,1,1,1,1,1,Chicago
Bonsoirée,Logan Square,,,,,,1,1,Closed,Closed,Closed,Closed,Closed,Closed,Chicago
Charlie Trotter's,Lincoln Park,,,,,,2,2,Closed,Closed,Closed,Closed,Closed,Closed,Chicago
Crofton on Wells,River North,,,,,,1,,Closed,Closed,Closed,Closed,Closed,Closed,Chicago
Courtright's,Willow Springs,,,,,,,1,,Closed,Closed,Closed,Closed,Closed,Chicago
Dusek's,Pilsen,,,,,,,,,,,1,1,1,Chicago
El Ideas,Douglas Park,,,,,,,,,1,1,1,1,1,Chicago
Elizabeth,Ravenswood,,,,,,,,,1,1,1,1,1,Chicago
Elske,West Loop,,,,,,,,,,,,,1,Chicago
Entente,Lakeview,,,,,,,,,,,,,1,Chicago
Everest,Loop,,,,,,1,1,1,1,1,1,1,1,Chicago
Goosefoot,Ravenswood,,,,,,,,1,1,1,1,1,1,Chicago
Grace,West Loop,,,,,,,,,2,3,3,3,3,Chicago
Graham Elliot,River North,,,,,,1,1,2,2,Closed,Closed,Closed,Closed,Chicago
GreenRiver,Streeterville,,,,,,,,,,,,1,1,Chicago
L2O,Lincoln Park,,,,,,3,,2,2,2,Closed,Closed,Closed,Chicago
Longman & Eagle,Logan Square,,,,,,1,1,1,1,1,1,1,,Chicago
Mexique,West Town,,,,,,,,1,1,,,,,Chicago
Moto,Fulton Market,,,,,,,1,1,1,1,1,Closed,Closed,Chicago
NAHA,River North,,,,,,1,1,1,1,1,1,1,1,Chicago
NoMI,Magnificent Mile,,,,,,1,,,,,,,,Chicago
North Pond,Lincoln Park,,,,,,,,,1,1,1,1,1,Chicago
Oriole,West Loop,,,,,,,,,,,,2,2,Chicago
Parachute,Avondale,,,,,,,,,,,1,1,1,Chicago
RIA,Gold Coast,,,,,,2,2,Closed,Closed,Closed,Closed,Closed,Closed,Chicago
Roister,Fulton Market,,,,,,,,,,,,1,1,Chicago
Schwa,West Town,,,,,,1,1,1,1,1,1,1,1,Chicago
Seasons,Magnificent Mile,,,,,,1,1,Closed,Closed,Closed,Closed,Closed,Closed,Chicago
Senza,Lakeview East,,,,,,,,,,1,Closed,Closed,Closed,Chicago
Sepia,West Loop,,,,,,1,1,1,1,1,1,1,1,Chicago
Sixteen,River North,,,,,,1,,1,2,2,2,2,2,Chicago
Smyth,West Loop,,,,,,,,,,,,1,2,Chicago
Spiaggia,Magnificent Mile,,,,,,1,1,1,1,1,1,1,1,Chicago
Takashi,Bucktown,,,,,,1,1,1,1,1,Closed,Closed,Closed,Chicago
Topolobampo,River North,,,,,,1,1,1,1,1,1,1,1,Chicago
The Lobby,Magnificent Mile,,,,,,,,,1,,,,,Chicago
Tru,Streeterville,,,,,,1,1,1,1,1,1,2,Closed,Chicago
Vie,Western Springs,,,,,,1,1,,,,,,,Chicago
Blue Duck Tavern,West End,,,,,,,,,,,,1,1,DC
